"CaseMasterID","CaseNo","BriefFacts"
"1","202600001","Case registered at Hassan PS 21 regarding grievous hurt. Investigation ongoing under IO Amara."
"2","202400002","Case registered at Haveri PS 29 regarding gambling. Investigation ongoing under IO Tejas."
"3","202400003","Case registered at Mandya PS 20 regarding public nuisance. Investigation ongoing under IO Victor."
"4","202600004","Case registered at Bagalkot PS 19 regarding sexual assault. Investigation ongoing under IO Kritika."
"5","202400005","Case registered at Dakshina Kannada PS 41 regarding vehicle theft. Investigation ongoing under IO Mekhala."
"6","202600006","Case registered at Haveri PS 23 regarding gambling. Investigation ongoing under IO Warda."
"7","202400007","Case registered at Hassan PS 16 regarding online fraud. Investigation ongoing under IO Jasmit."
"8","202300008","Case registered at Kolar PS 4 regarding burglary. Investigation ongoing under IO Yadavi."
"9","202400009","Case registered at Koppal PS 7 regarding attempt to murder. Investigation ongoing under IO Tanay."
"10","202300010","Case registered at Koppal PS 29 regarding gambling. Investigation ongoing under IO Kalpit."
"11","202600011","Case registered at Chikkamagaluru PS 1 regarding murder. Investigation ongoing under IO Kashvi."
"12","202300012","Case registered at Davanagere PS 19 regarding theft. Investigation ongoing under IO Nitesh."
"13","202400013","Case registered at Mysuru PS 54 regarding gambling. Investigation ongoing under IO Charvi."
"14","202300014","Case registered at Bengaluru Urban PS 55 regarding domestic violence. Investigation ongoing under IO Wriddhish."
"15","202500015","Case registered at Belagavi PS 37 regarding vehicle theft. Investigation ongoing under IO Neel."
"16","202300016","Case registered at Vijayapura PS 6 regarding identity theft. Investigation ongoing under IO Devansh."
"17","202600017","Case registered at Kalaburagi PS 37 regarding domestic violence. Investigation ongoing under IO Shaurya."
"18","202300018","Case registered at Ballari PS 5 regarding robbery. Investigation ongoing under IO Oeshi."
"19","202400019","Case registered at Ramanagara PS 29 regarding theft. Investigation ongoing under IO Chandran."
"20","202400020","Case registered at Gadag PS 17 regarding robbery. Investigation ongoing under IO Kamala."
"21","202300021","Case registered at Bengaluru Urban PS 51 regarding theft. Investigation ongoing under IO Damyanti."
"22","202300022","Case registered at Bengaluru Urban PS 88 regarding online fraud. Investigation ongoing under IO Gabriel."
"23","202400023","Case registered at Udupi PS 25 regarding theft. Investigation ongoing under IO Tanay."
"24","202300024","Case registered at Bengaluru Rural PS 24 regarding gambling. Investigation ongoing under IO Sanya."
"25","202400025","Case registered at Chikkaballapur PS 15 regarding attempt to murder. Investigation ongoing under IO Fiyaz."
"26","202400026","Case registered at Koppal PS 1 regarding criminal breach of trust. Investigation ongoing under IO Inaya."
"27","202400027","Case registered at Bagalkot PS 11 regarding sexual assault. Investigation ongoing under IO Jeevika."
"28","202300028","Case registered at Shivamogga PS 25 regarding sexual assault. Investigation ongoing under IO Dayamai."
"29","202600029","Case registered at Vijayapura PS 13 regarding cheating. Investigation ongoing under IO Aditya."
"30","202500030","Case registered at Chikkamagaluru PS 24 regarding sexual assault. Investigation ongoing under IO Chaitanya."
"31","202300031","Case registered at Bengaluru Rural PS 15 regarding criminal breach of trust. Investigation ongoing under IO Oni."
"32","202400032","Case registered at Bagalkot PS 27 regarding dowry harassment. Investigation ongoing under IO Zehaan."
"33","202300033","Case registered at Chikkaballapur PS 5 regarding cheating. Investigation ongoing under IO Chakrika."
"34","202300034","Case registered at Ballari PS 8 regarding grievous hurt. Investigation ongoing under IO Matthew."
"35","202400035","Case registered at Yadgir PS 8 regarding murder. Investigation ongoing under IO Avi."
"36","202500036","Case registered at Belagavi PS 12 regarding cheating. Investigation ongoing under IO Chatura."
"37","202300037","Case registered at Chikkamagaluru PS 25 regarding murder. Investigation ongoing under IO Ekaja."
"38","202400038","Case registered at Ballari PS 7 regarding dowry harassment. Investigation ongoing under IO Hamsini."
"39","202600039","Case registered at Kalaburagi PS 9 regarding attempt to murder. Investigation ongoing under IO Aashi."
"40","202300040","Case registered at Belagavi PS 27 regarding gambling. Investigation ongoing under IO Laksh."
"41","202500041","Case registered at Belagavi PS 18 regarding dowry harassment. Investigation ongoing under IO Varsha."
"42","202400042","Case registered at Chikkaballapur PS 6 regarding gambling. Investigation ongoing under IO Hemal."
"43","202400043","Case registered at Vijayanagara PS 21 regarding cheating. Investigation ongoing under IO Barkha."
"44","202400044","Case registered at Vijayanagara PS 3 regarding burglary. Investigation ongoing under IO Devansh."
"45","202500045","Case registered at Shivamogga PS 7 regarding public nuisance. Investigation ongoing under IO Anirudh."
"46","202600046","Case registered at Mysuru PS 23 regarding grievous hurt. Investigation ongoing under IO Manthan."
"47","202500047","Case registered at Davanagere PS 25 regarding online fraud. Investigation ongoing under IO David."
"48","202600048","Case registered at Belagavi PS 45 regarding public nuisance. Investigation ongoing under IO Krishna."
"49","202300049","Case registered at Koppal PS 7 regarding grievous hurt. Investigation ongoing under IO Chandran."
"50","202500050","Case registered at Gadag PS 5 regarding robbery. Investigation ongoing under IO Mohini."
"51","202300051","Case registered at Uttara Kannada PS 25 regarding public nuisance. Investigation ongoing under IO Vaishnavi."
"52","202300052","Case registered at Udupi PS 12 regarding criminal breach of trust. Investigation ongoing under IO Vamakshi."
"53","202400053","Case registered at Bengaluru Urban PS 28 regarding public nuisance. Investigation ongoing under IO Hitesh."
"54","202500054","Case registered at Bengaluru Urban PS 98 regarding domestic violence. Investigation ongoing under IO Gayathri."
"55","202400055","Case registered at Bengaluru Urban PS 92 regarding murder. Investigation ongoing under IO Aadi."
"56","202400056","Case registered at Hassan PS 6 regarding criminal breach of trust. Investigation ongoing under IO Manbir."
"57","202300057","Case registered at Chikkamagaluru PS 16 regarding cheating. Investigation ongoing under IO Nathaniel."
"58","202400058","Case registered at Ballari PS 38 regarding grievous hurt. Investigation ongoing under IO William."
"59","202400059","Case registered at Kalaburagi PS 34 regarding cheating. Investigation ongoing under IO Meghana."
"60","202300060","Case registered at Dakshina Kannada PS 17 regarding domestic violence. Investigation ongoing under IO Tanay."
"61","202400061","Case registered at Bengaluru Urban PS 59 regarding domestic violence. Investigation ongoing under IO Idika."
"62","202400062","Case registered at Kolar PS 12 regarding criminal breach of trust. Investigation ongoing under IO Ekiya."
"63","202300063","Case registered at Ballari PS 21 regarding public nuisance. Investigation ongoing under IO Avi."
"64","202300064","Case registered at Bengaluru Urban PS 11 regarding gambling. Investigation ongoing under IO Yadavi."
"65","202500065","Case registered at Haveri PS 13 regarding domestic violence. Investigation ongoing under IO Nisha."
"66","202300066","Case registered at Uttara Kannada PS 8 regarding vehicle theft. Investigation ongoing under IO Tanvi."
"67","202500067","Case registered at Belagavi PS 25 regarding cheating. Investigation ongoing under IO Veda."
"68","202400068","Case registered at Bagalkot PS 16 regarding domestic violence. Investigation ongoing under IO Arya."
"69","202300069","Case registered at Bengaluru Urban PS 80 regarding identity theft. Investigation ongoing under IO Megha."
"70","202500070","Case registered at Belagavi PS 39 regarding cheating. Investigation ongoing under IO Gagan."
"71","202500071","Case registered at Kolar PS 8 regarding public nuisance. Investigation ongoing under IO Lucky."
"72","202500072","Case registered at Mysuru PS 19 regarding dowry harassment. Investigation ongoing under IO Janya."
"73","202500073","Case registered at Uttara Kannada PS 9 regarding criminal breach of trust. Investigation ongoing under IO Chakradhar."
"74","202500074","Case registered at Kalaburagi PS 27 regarding identity theft. Investigation ongoing under IO Ekani."
"75","202600075","Case registered at Ballari PS 28 regarding identity theft. Investigation ongoing under IO Abhimanyu."
"76","202500076","Case registered at Yadgir PS 2 regarding vehicle theft. Investigation ongoing under IO Michael."
"77","202600077","Case registered at Uttara Kannada PS 15 regarding vehicle theft. Investigation ongoing under IO Jagvi."
